新聞財經,#genre#
TVBS新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=291#https://ha.msbot.dpdns.org/4gtv_api.php?id=473
鏡電視新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=268
東森新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=234#https://ha.msbot.dpdns.org/4gtv_api.php?id=292
中視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=33#https://ha.msbot.dpdns.org/4gtv_api.php?id=258
中天新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=260#https://ha.msbot.dpdns.org/4gtv_api.php?id=30
華視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=34#https://ha.msbot.dpdns.org/4gtv_api.php?id=256
民視新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=257#https://ha.msbot.dpdns.org/4gtv_api.php?id=31#https://ha.msbot.dpdns.org/4gtv_api.php?id=467
三立新聞iNEWS,https://ha.msbot.dpdns.org/4gtv_api.php?id=229
寰宇新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=36#https://ha.msbot.dpdns.org/4gtv_api.php?id=262
寰宇新聞台灣台,https://ha.msbot.dpdns.org/4gtv_api.php?id=280
東森財經新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=211#https://ha.msbot.dpdns.org/4gtv_api.php?id=293
SBN全球財經台,https://ha.msbot.dpdns.org/4gtv_api.php?id=224
CNBC Asia 財經台,https://ha.msbot.dpdns.org/4gtv_api.php?id=235
Bloomberg TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=283

綜合戲劇,#genre#
中視,https://ha.msbot.dpdns.org/4gtv_api.php?id=4
華視,https://ha.msbot.dpdns.org/4gtv_api.php?id=6
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=246#https://ha.msbot.dpdns.org/4gtv_api.php?id=3#https://ha.msbot.dpdns.org/4gtv_api.php?id=468
民視第一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=254#https://ha.msbot.dpdns.org/4gtv_api.php?id=1#https://ha.msbot.dpdns.org/4gtv_api.php?id=470
民視台灣台,https://ha.msbot.dpdns.org/4gtv_api.php?id=2#https://ha.msbot.dpdns.org/4gtv_api.php?id=469#https://ha.msbot.dpdns.org/4gtv_api.php?id=255
民視影劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=24
民視綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=16
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=183#https://ha.msbot.dpdns.org/4gtv_api.php?id=472
TVBS歡樂台,https://ha.msbot.dpdns.org/4gtv_api.php?id=184
TVBS精采台,https://ha.msbot.dpdns.org/4gtv_api.php?id=227
TVBS綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=476
TVBS台劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=477
公視戲劇,https://ha.msbot.dpdns.org/4gtv_api.php?id=7
三立綜合台,https://ha.msbot.dpdns.org/4gtv_api.php?id=169
客家電視台,https://ha.msbot.dpdns.org/4gtv_api.php?id=107
原住民族電視台,https://ha.msbot.dpdns.org/4gtv_api.php?id=124
八大精彩台,https://ha.msbot.dpdns.org/4gtv_api.php?id=172
